id,road_team,home_team,total_game_minutes,road_team_final_score,home_team_final_score,road_team_rest,home_team_rest
21700245,LA Clippers,New York,240,85,107,3IN4,2
21700246,Portland,Memphis,240,100,92,3IN4,1
21700247,Washington,Milwaukee,240,99,88,3IN4-B2B,1
21700248,Oklahoma City,New Orleans,240,107,114,2,2
21700249,Boston,Dallas,265,110,102,1,3IN4
21700250,Atlanta,San Antonio,240,85,96,1,2
21700251,Denver,Sacramento,240,114,98,3IN4-B2B,3IN4
21700252,Chicago,LA Lakers,240,94,103,1,1
21700253,Washington,Charlotte,265,124,129,3IN4,1
21700254,Brooklyn,Cleveland,240,109,119,2,1
21700255,Portland,Philadelphia,240,81,101,1,1
21700256,LA Clippers,Atlanta,240,116,103,1,1
21700257,Boston,Miami,240,98,104,1,2
21700258,Toronto,New York,240,100,108,2,1
21700259,Denver,Houston,240,95,125,3IN4,3+
21700260,Dallas,Memphis,240,95,94,1,1
21700261,Orlando,Minnesota,240,118,124,1,3IN4
21700262,San Antonio,New Orleans,240,90,107,1,1
21700263,Golden State,Oklahoma City,240,91,108,2,1
21700264,Milwaukee,Phoenix,265,113,107,1,2
21700265,Chicago,Utah,240,80,110,3IN4-B2B,1
21700266,LA Lakers,Sacramento,240,102,113,3IN4-B2B,1
21700267,Portland,Brooklyn,240,127,125,1,1
21700268,New York,Atlanta,240,104,116,1,1
21700269,Orlando,Boston,240,103,118,1,1
21700270,Charlotte,Cleveland,240,99,100,1,1
21700271,Toronto,Indiana,240,104,107,1,3+
21700272,Miami,Minnesota,240,109,97,1,1
21700273,Detroit,Oklahoma City,240,99,98,3+,1
21700274,Memphis,Denver,240,92,104,1,1
21700275,New Orleans,Phoenix,240,115,91,1,1
21700276,Chicago,Golden State,240,94,143,3IN4,1
21700277,San Antonio,Charlotte,240,106,86,2,3IN4-B2B
21700278,Orlando,Philadelphia,240,111,130,3IN4-B2B,2
21700279,Portland,Washington,240,108,105,3IN4-B2B,2
21700280,Toronto,Atlanta,240,112,78,3IN4-B2B,3IN4-B2B
21700281,Boston,Indiana,240,108,98,3IN4-B2B,B2B
21700282,New York,Houston,240,102,117,3IN4-B2B,2
21700283,Oklahoma City,Dallas,240,81,97,3IN4-B2B,2
21700284,New Orleans,Golden State,240,95,110,3IN4-B2B,3IN4-B2B
21700285,Milwaukee,Utah,240,108,121,2,2
21700286,LA Clippers,Sacramento,240,97,95,2,2
21700287,Miami,Chicago,240,100,93,1,1
21700288,Phoenix,Minnesota,240,108,119,1,1
21700289,Brooklyn,Memphis,240,98,88,1,1
21700290,Orlando,Indiana,240,109,121,3IN4,3IN4
