DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
2017-2018 Regular Season,0021700210,11/15/17,8:00 PM,San Antonio,Minnesota,240,86,98,B2B,1,Box Score
2017-2018 Regular Season,0021700211,11/15/17,8:00 PM,Toronto,New Orleans,240,125,116,3IN4-B2B,1,Box Score
2017-2018 Regular Season,0021700212,11/15/17,8:00 PM,Chicago,Oklahoma City,240,79,92,3+,2,Box Score
2017-2018 Regular Season,0021700213,11/15/17,10:00 PM,Orlando,Portland,240,94,99,1,1,Box Score
2017-2018 Regular Season,0021700214,11/15/17,10:30 PM,Philadelphia,LA Lakers,240,115,109,1,1,Box Score
2017-2018 Regular Season,0021700215,11/16/17,8:00 PM,Golden State,Boston,240,88,92,2,1,Box Score
2017-2018 Regular Season,0021700216,11/16/17,10:30 PM,Houston,Phoenix,240,142,116,1,2,Box Score
2017-2018 Regular Season,0021700217,11/17/17,7:00 PM,Detroit,Indiana,240,100,107,1,1,Box Score
2017-2018 Regular Season,0021700218,11/17/17,7:00 PM,Miami,Washington,240,91,88,1,1,Box Score
2017-2018 Regular Season,0021700219,11/17/17,7:30 PM,Utah,Brooklyn,240,107,118,1,2,Box Score
2017-2018 Regular Season,0021700220,11/17/17,7:30 PM,LA Clippers,Cleveland,265,113,118,3+,1,Box Score
2017-2018 Regular Season,0021700221,11/17/17,7:30 PM,New York,Toronto,240,84,107,1,3IN4,Box Score
2017-2018 Regular Season,0021700222,11/17/17,8:00 PM,Charlotte,Chicago,240,120,123,1,1,Box Score
2017-2018 Regular Season,0021700223,11/17/17,8:00 PM,Oklahoma City,San Antonio,240,101,104,1,3IN4,Box Score
2017-2018 Regular Season,0021700224,11/17/17,8:30 PM,Minnesota,Dallas,240,111,87,1,2,Box Score
2017-2018 Regular Season,0021700225,11/17/17,10:00 PM,Portland,Sacramento,240,82,86,1,1,Box Score
2017-2018 Regular Season,0021700226,11/17/17,10:30 PM,New Orleans,Denver,240,114,146,1,3+,Box Score
2017-2018 Regular Season,0021700227,11/17/17,10:30 PM,Phoenix,LA Lakers,240,122,113,B2B,1,Box Score
2017-2018 Regular Season,0021700228,11/18/17,7:00 PM,LA Clippers,Charlotte,240,87,102,B2B,3IN4-B2B,Box Score
2017-2018 Regular Season,0021700229,11/18/17,7:00 PM,Utah,Orlando,240,125,85,3IN4-B2B,2,Box Score
2017-2018 Regular Season,0021700230,11/18/17,7:30 PM,Boston,Atlanta,240,110,99,1,2,Box Score
2017-2018 Regular Season,0021700231,11/18/17,7:30 PM,Golden State,Philadelphia,240,124,116,1,2,Box Score
